"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2014",47638.633438,
"AUS","GDP","TOT","USD_CAP","A","2015",47351.047292,
"AUS","GDP","TOT","USD_CAP","A","2016",50262.606439,
"AUS","GDP","TOT","USD_CAP","A","2017",51993.845657,
"AUS","GDP","TOT","USD_CAP","A","2018",54144.177019,"E"
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49953.900584,
"AUT","GDP","TOT","USD_CAP","A","2016",51636.986695,
"AUT","GDP","TOT","USD_CAP","A","2017",53894.548963,
"AUT","GDP","TOT","USD_CAP","A","2018",55528.86995,
"BEL","GDP","TOT","USD_CAP","A","2014",44720.458061,
"BEL","GDP","TOT","USD_CAP","A","2015",45739.214797,
"BEL","GDP","TOT","USD_CAP","A","2016",47366.400094,
"BEL","GDP","TOT","USD_CAP","A","2017",49525.734095,
"BEL","GDP","TOT","USD_CAP","A","2018",50442.053381,
"CAN","GDP","TOT","USD_CAP","A","2014",45627.577143,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.364618,
"CAN","GDP","TOT","USD_CAP","A","2016",45109.47982,
"CAN","GDP","TOT","USD_CAP","A","2017",46810.319383,
"CAN","GDP","TOT","USD_CAP","A","2018",48106.911763,
"CZE","GDP","TOT","USD_CAP","A","2014",32265.045158,
"CZE","GDP","TOT","USD_CAP","A","2015",33701.384,
"CZE","GDP","TOT","USD_CAP","A","2016",35234.017075,
"CZE","GDP","TOT","USD_CAP","A","2017",38037.214886,
"CZE","GDP","TOT","USD_CAP","A","2018",39740.849024,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477296,
"DNK","GDP","TOT","USD_CAP","A","2015",49071.299718,
"DNK","GDP","TOT","USD_CAP","A","2016",50685.430829,
"DNK","GDP","TOT","USD_CAP","A","2017",54337.412043,
"DNK","GDP","TOT","USD_CAP","A","2018",55137.815103,
"FIN","GDP","TOT","USD_CAP","A","2014",41462.716744,
"FIN","GDP","TOT","USD_CAP","A","2015",42213.488867,
