CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2016 Score,Change in Yearly Score from 2015,Property Rights,Change in Property Rights from 2015,Freedom from Corruption,Change in Freedom from Corruption from 2015,Fiscal Freedom ,Change in Fiscal Freedom from 2015,Gov't Spending,Change in Gov't Spending from 2015,Business Freedom,Change in Business Freedom from 2015,Labor Freedom,Change in Labor Freedom from 2015,Monetary Freedom,Change in Monetary Freedom from 2015,Trade Freedom,Change in Trade Freedom from 2015,Investment Freedom ,Change in Investment Freedom from 2015,Financial Freedom,Change in Financial Freedom from 2015,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,N/A,12.0,4.0,91.6,-0.1,81.2,0.0,56.6,-4.8,63.2,-4.3,N/A,N/A,N/A,N/A,55,0.0,N/A,N/A,N/A,20.0,20.0,6.6,25.0,Afghanistan,31.3,$60.6 ,1.5,6.8,"$1,937",9.1,4.6,53.6,6.7
2,Albania,Albania,Europe,59,27,65.9,0.2,35.0,5.0,33.0,2.0,87.8,0.6,75.0,-1.1,67.6,-3.0,51.5,-1.4,81.7,0.9,87.6,-0.2,70,0.0,70,0.0,1.2,23.0,15.0,21.7,28.9,Albania,2.8,$31.6 ,2.1,2.3,"$11,377",16.1,1.6,"1,093.5",72.6
3,Algeria,Algeria,Middle East / North Africa,154,13,50.1,1.2,25.0,-5.0,36.0,0.0,81.0,1.0,59.4,20.7,62.1,-4.5,48.2,-2.3,68.1,-3.1,60.8,0.0,30,5.0,30,0.0,12.1,35.0,23.0,12.2,38.0,Algeria,38.7,$551.8 ,4.1,3.3,"$14,259",9.5,2.9,"1,488.0",8.8
4,Angola,Angola,Sub-Saharan Africa,156,39,48.9,1.0,15.0,0.0,19.0,-4.0,87.8,3.3,50.1,0.0,50.3,2.9,44.8,1.6,72.2,6.8,70.2,0.0,40,0.0,40,0.0,4.9,17.0,30.0,6.0,40.8,Angola,24.4,$175.6 ,4.2,4.7,"$7,203",6.8,7.3,"-3,881.0",38.0
5,Argentina,Argentina,South and Central America / Caribbean,169,27,43.8,-0.3,15.0,0.0,34.0,0.0,66.1,-0.7,51.3,10.1,56,3.2,43.9,0.6,44.0,-15.6,67.4,-1.4,30,0.0,30,0.0,6.3,35.0,35.0,30.6,40.3,Argentina,42.0,$947.6 ,0.5,4.4,"$22,582",8.2,37.6,"6,612.0",48.6
6,Armenia,Armenia,Europe,54,23,67.0,-0.1,20.0,0.0,37.0,1.0,83.8,-0.6,80.7,-2.1,77.5,-5.2,62.2,-2.1,72.8,2.2,85.6,0.2,80,5.0,70,0.0,2.2,26.0,20.0,23.4,25.4,Armenia,3.3,$24.3 ,3.4,4.2,"$7,374",17.1,3.1,382.8,44.2
7,Australia,Australia,Asia-Pacific,5,4,80.3,-1.1,90.0,0.0,80.0,-1.0,63.2,-0.5,62.0,0.2,89.4,-4.7,77.2,-4.4,85.2,-0.1,86.4,0.0,80,0.0,90,0.0,1.8,45.0,30.0,27.5,35.6,Australia,23.6,"$1,095.4 ",2.7,2.7,"$46,433",6.0,2.5,"51,854.2",34.3
8,Austria,Austria,Europe,28,15,71.7,0.5,90.0,0.0,72.0,3.0,50.7,0.6,22.4,2.6,79.4,1.4,72.5,-4.2,81.7,1.4,88,0.0,90,0.0,70,0.0,1.0,50.0,25.0,42.5,50.9,Austria,8.5,$395.5 ,0.3,1.3,"$46,420",5.0,1.5,"4,674.9",86.8
9,Azerbaijan,Azerbaijan,Asia-Pacific,91,16,60.2,-0.8,20.0,0.0,29.0,1.0,88.0,-0.1,56.7,-3.0,70.3,-4.2,75.2,-3.9,77.0,-2.8,75.8,-0.2,60,5.0,50,0.0,4.6,25.0,20.0,13.3,38.0,Azerbaijan,9.4,$165.3 ,2.8,3.2,"$17,618",5.2,1.4,"4,430.4",16.4
10,Bahamas,Bahamas,South and Central America / Caribbean,31,2,70.9,2.2,70.0,0.0,71.0,0.0,97.9,0.1,84.3,1.1,70.7,1.8,72.8,-2.5,78.5,-0.3,64,11.8,40,10.0,60,0.0,13.0,0.0,0.0,14.4,22.8,The Bahamas,0.4,$9.0 ,1.3,1.1,"$25,049",15.4,1.2,"1,595.9",60.4
